service_id,date,exception_type
L3103LP103_031003,20250703,1
L3103LP103_031003,20250704,1
L3103LP103_031003,20250707,1
L3301LPV01_033001,20250704,1
L3301LPV01_033001,20250705,1
L4 01FPV00_004001,20250706,1
L4 01LP101_004001,20250701,1
L4 01LP101_004001,20250702,1
L4 01LP101_004001,20250703,1
L4 01LP101_004001,20250704,1
L4 01LP101_004001,20250707,1
L4 01SPV01_004001,20250705,1
L4 02FPV00_004002,20250706,1
L4 02LPV01_004002,20250701,1
L4 02LPV01_004002,20250702,1
L4 02LPV01_004002,20250703,1
L4 02LPV01_004002,20250704,1
L4 02LPV01_004002,20250707,1
L4 02SPV00_004002,20250705,1
L4 03FPV00_004003,20250706,1
L4 03LPV00_004003,20250701,1
L4 03LPV00_004003,20250702,1
L4 03LPV00_004003,20250703,1
L4 03LPV00_004003,20250704,1
L4 03LPV00_004003,20250707,1
L4 03SPV00_004003,20250705,1
L4 04FPV01_004004,20250706,1
L4 04LPV01_004004,20250701,1
L4 04LPV01_004004,20250702,1
L4 04LPV01_004004,20250703,1
L4 04LPV01_004004,20250704,1
L4 04LPV01_004004,20250707,1
L4 04SPV00_004004,20250705,1
L4 05LP200_004005,20250701,1
L4 05LP200_004005,20250702,1
L4 05LP200_004005,20250703,1
L4 05LP200_004005,20250704,1
L4 05LP200_004005,20250707,1
L4 06LPV01_004006,20250701,1
L4 06LPV01_004006,20250702,1
L4 06LPV01_004006,20250703,1
L4 06LPV01_004006,20250704,1
L4 06LPV01_004006,20250707,1
L4 07LPV01_004007,20250701,1
L4 07LPV01_004007,20250702,1
L4 07LPV01_004007,20250703,1
L4 07LPV01_004007,20250704,1
L4 07LPV01_004007,20250707,1
L5 01FP101_005001,20250706,1
L5 01LP101_005001,20250701,1
L5 01LP101_005001,20250702,1
L5 01LP101_005001,20250703,1
L5 01LP101_005001,20250704,1
L5 01LP101_005001,20250707,1
L5 01SP101_005001,20250705,1
L5 02FP102_005002,20250706,1
L5 02LP101_005002,20250701,1
L5 02LP101_005002,20250702,1
L5 02LP101_005002,20250703,1
L5 02LP101_005002,20250704,1
L5 02LP101_005002,20250707,1
L5 02SP101_005002,20250705,1
L5 03FC103_005003,20250706,1
L5 03LP101_005003,20250701,1
L5 03LP101_005003,20250702,1
L5 03LP101_005003,20250703,1
L5 03LP101_005003,20250704,1
L5 03LP101_005003,20250707,1
L5 03SC104_005003,20250705,1
L5 04FP102_005004,20250706,1
L5 04LP201_005004,20250701,1
L5 04LP201_005004,20250702,1
L5 04LP201_005004,20250703,1
L5 04LP201_005004,20250704,1
L5 04LP201_005004,20250707,1
L5 04SP101_005004,20250705,1
L5 05FP101_005005,20250706,1
L5 05LP101_005005,20250701,1
L5 05LP101_005005,20250702,1
L5 05LP101_005005,20250703,1
L5 05LP101_005005,20250704,1
L5 05LP101_005005,20250707,1
L5 05SP101_005005,20250705,1
L5 06FP101_005006,20250706,1
L5 06LP101_005006,20250701,1
L5 06LP101_005006,20250702,1
L5 06LP101_005006,20250703,1
