stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3357,P005660,Avda. da Gran Vía  19,Parada,42.2329579184084,-8.71721573481472,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5660,,,Europe/Madrid,1
3344,P005530,Avda. de García Barbón  18,Parada,42.2372045604596,-8.71868073599586,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5530,,,Europe/Madrid,1
3345,P005540,Avda. de García Barbón  28,Parada,42.2367596850861,-8.71638458132256,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5540,,,Europe/Madrid,1
3347,P005560,Avda. de García Barbón  60,Parada,42.2368969192365,-8.71290290517254,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5560,,,Europe/Madrid,1
3349,P005580,Avda. de García Barbón  90,Parada,42.2382673477967,-8.70987316611334,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5580,,,Europe/Madrid,1
4015,P0014396,Avda. de García Barbón  106,Parada,42.2399653653799,-8.70802428233222,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14396,,,Europe/Madrid,1
3340,P005500,Avda. de García Barbón  126,Parada,42.2417802497337,-8.70672093567975,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5500,,,Europe/Madrid,1
3611,P008010,Rúa de Sanjurjo Badía  106,Parada,42.245018171809,-8.70334964611305,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8010,,,Europe/Madrid,1
3613,P008030,Rúa de Sanjurjo Badía  136,Parada,42.2460562611882,-8.70168482543312,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8030,,,Europe/Madrid,1
3615,P008050,Rúa de Sanjurjo Badía  202,Parada,42.247765295602,-8.6989182028116,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8050,,,Europe/Madrid,1
3755,P0014132,Rúa de Sanjurjo Badía  252,Parada,42.2493076314302,-8.69654200849942,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14132,,,Europe/Madrid,1
2907,P001240,Avda. de Buenos Aires  8 ,Parada,42.249128205394,-8.69514772967585,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1240,,,Europe/Madrid,1
2905,P001220,Avda. de Buenos Aires  46,Parada,42.2470970552338,-8.69310925082453,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1220,,,Europe/Madrid,1
3669,P008570,Rúa da Travesía de Vigo  239,Parada,42.2461433193661,-8.69359937000084,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8570,,,Europe/Madrid,1
3668,P008560,Rúa da Travesía de Vigo  213,Parada,42.2440987098588,-8.69614733027353,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8560,,,Europe/Madrid,1
3666,P008540,Rúa da Travesía de Vigo  193,Parada,42.242844315886,-8.69829582502331,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8540,,,Europe/Madrid,1
3664,P008520,Rúa da Travesía de Vigo  153,Parada,42.2413328832909,-8.70205990634983,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8520,,,Europe/Madrid,1
3662,P008500,Rúa da Travesía de Vigo  105,Parada,42.2384555477798,-8.70381481229559,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8500,,,Europe/Madrid,1
3672,P008600,Rúa da Travesía de Vigo  71,Parada,42.2363500928807,-8.70429745040855,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8600,,,Europe/Madrid,1
3671,P008590,Rúa da Travesía de Vigo  37,Parada,42.2336812237455,-8.70670213621358,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8590,,,Europe/Madrid,1
3675,P008630,Rúa da Travesía de Vigo  7,Parada,42.2320459310342,-8.70860379283246,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8630,,,Europe/Madrid,1
3698,P008850,Rúa de Urzáiz  97,Parada,42.232341314804,-8.71089205363489,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8850,,,Europe/Madrid,1
3688,P008750,Rúa de Urzáiz - Est. Intermodal - C.C.,Parada,42.2337229769207,-8.71450276193459,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8750,,,Europe/Madrid,1
3690,P008770,Rúa de Urzáiz  13,Parada,42.2354209287861,-8.71872187671502,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8770,,,Europe/Madrid,1
3110,P003230,Rúa de Colón  27,Parada,42.236471451664,-8.72016490516504,,http://infobus.vitrasa.es:8002/Default.aspx?parada=3230,,,Europe/Madrid,1
5508,PA20193,Rúa de Policarpo Sanz  25,Parada,42.2376672008846,-8.72126715983279,,http://infobus.vitrasa.es:8002/Default.aspx?parada=20193,,,Europe/Madrid,1
3486,P006860,Praza de Compostela,Parada,42.2391183457202,-8.72253127352522,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6860,,,Europe/Madrid,1
5510,PA20195,Praza de Compostela (fronte 35),Parada,42.2393606004768,-8.7241314638909,,http://infobus.vitrasa.es:8002/Default.aspx?parada=20195,,,Europe/Madrid,1
3424,P006300,Rúa de Cánovas del Castillo (Centro Comercial),Parada,42.2401295406139,-8.72715975875732,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6300,,,Europe/Madrid,1
3844,P0014223,"Avda. Beiramar ""Porto Pesqueiro Berbés""",Parada,42.2366501055161,-8.73161426962645,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14223,,,Europe/Madrid,1
3845,P0014224,Rúa do Conde de Torrecedeira  16,Parada,42.2342859273087,-8.73126650716955,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14224,,,Europe/Madrid,1
3846,P0014225,Rúa do Conde de Torrecedeira  50,Parada,42.2317165737623,-8.73230873723001,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14225,,,Europe/Madrid,1
3847,P0014226,Rúa do Conde de Torrecedeira  70,Parada,42.2295748589222,-8.73307397277087,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14226,,,Europe/Madrid,1
3848,P0014227,Rúa do Conde de Torrecedeira  86 ,Parada,42.2269665701624,-8.73455970577759,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14227,,,Europe/Madrid,1
5540,PA20215,Rúa da Coruña  21,Parada,42.2238802960314,-8.73552019637114,,http://infobus.vitrasa.es:8002/Default.aspx?parada=20215,,,Europe/Madrid,1
3111,P003240,Rúa da Coruña  5,Parada,42.222147289974,-8.73416791647594,,http://infobus.vitrasa.es:8002/Default.aspx?parada=3240,,,Europe/Madrid,1
